,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
404000,128994,29953,190030,267955,259956,189996,263996,320997,279006,137973
405000,131994,27998,191994,277980,249995,197996,266991,339000,275046,170998
406000,130998,27953,192996,275995,271994,191998,266999,326995,283036,141476
407000,131962,27996,216989,267993,253956,198053,273985,324000,280955,137042
408000,136000,45959,196996,278996,270001,196991,285051,328046,282945,141997
409000,134002,26997,200998,279033,244959,193959,277038,329004,285946,152046
410000,133989,26998,195958,292996,282955,198995,270977,328039,288942,140051
411000,135951,27997,197042,279986,258990,194047,281998,330006,292986,144999
412000,132957,27040,196000,268927,251038,199953,275039,366005,286947,140001
413000,138048,27001,201950,271997,267986,198005,271998,332989,306955,141008
414000,133999,27998,209035,279000,270000,200956,270999,333993,324041,142999
415000,156948,32998,195999,283013,251986,209999,271988,334955,287995,145998
416000,133993,26999,198997,311039,261005,207995,287038,364008,312948,144961
417000,137999,26997,198996,264993,253994,199995,274991,334994,289997,140961
418000,135997,26998,196998,315996,254030,201998,273996,343951,292027,144958
419000,135006,27999,200998,308994,264990,205004,301948,342991,288045,145048
420000,135999,26998,201996,292996,271995,199037,280002,339943,308003,180032
421000,135000,26999,208996,281039,259966,200981,281993,339995,298991,160997
422000,136041,28003,203004,307997,267050,203953,278502,338043,292946,141997
423000,139049,26998,201997,290944,274995,234039,297945,344999,296032,143952
424000,141052,27998,201946,295038,272999,210008,282942,341863,295598,157964
425000,139996,27996,201032,287007,267945,205035,280205,344991,295995,145998
426000,136999,30001,199999,570031,267998,203958,284993,341991,297995,146998
427000,136995,30035,230959,332994,265994,204995,297044,347993,297947,151041
428000,137000,27998,212012,305997,275947,206044,284987,349966,341992,148999
429000,138999,28001,207036,299004,271984,202233,282956,372045,299946,147032
430000,139955,28997,228040,300947,260047,206992,287073,357045,295726,152993
431000,139010,28946,206997,282992,271988,231954,289995,346994,299045,148997
432000,139962,43995,207049,308945,268001,208035,286991,352993,320995,150997
433000,138002,27998,205997,294957,276996,210036,291958,353034,299996,149996
434000,159960,27996,226044,299987,279958,210997,289033,356005,312953,152997
435000,141998,27999,209997,312515,287996,213083,293958,354990,299040,152952
436000,140998,30998,207053,293949,277993,212997,311998,365030,306995,147997
437000,144992,29047,207002,294945,273571,212987,295929,353041,302957,148995
438000,156038,29005,206947,299991,274996,212996,293995,355040,303999,150957
439000,145994,29001,216999,307033,288951,244540,296996,354994,307988,151053
440000,140996,30000,211998,316999,280032,216011,309998,369945,311998,153993
441000,140998,29997,220000,321037,310947,214005,291993,355953,326994,154000
442000,171048,29994,209998,314014,305234,241989,292995,358995,322039,152006
443000,149038,28960,223998,314999,260996,224042,294996,384957,310028,154957
444000,147049,28996,216490,312957,297043,214993,294994,359944,310006,157993
445000,142996,28999,214995,296994,290037,212994,300274,389946,312997,157043
446000,144981,29040,216996,316995,280957,217994,311037,365995,310997,170979
447000,146996,29000,216991,300998,295045,219945,304999,362992,321040,158999
448000,144986,30001,217954,359035,294960,226958,299032,376997,314953,157001
449000,150034,29047,212994,294989,271997,239997,313999,368991,337991,154510
450000,146036,31018,214998,312958,282028,226016,308998,409996,321943,157993
451000,206000,32995,215000,311993,286993,224031,303008,367465,329997,156989
452000,147000,28999,216997,308957,281992,219035,307010,364986,313997,156006
453000,145960,30079,247023,313948,293994,224992,302048,370960,314996,153998
454000,149037,29003,218007,296987,291957,252045,306946,400051,316989,154976
455000,146022,29999,218946,325965,288030,221959,306953,392002,320027,157998
456000,150992,30008,215563,336998,282994,223034,307002,388952,336038,155954
457000,146998,29999,220000,304994,285994,223038,310989,377312,320042,158992
458000,147038,30988,226995,309960,287035,228004,310948,376037,323955,155035
459000,151994,29995,223995,435994,308051,224045,311950,374994,326032,157000
460000,150957,30012,216987,338003,282996,248956,393049,372944,322044,156997
461000,164960,36016,244996,321996,296031,242035,309997,392998,322999,159958
462000,149996,29983,221996,335010,319375,234006,371942,382991,322993,181070
463000,149998,30997,225945,325997,287997,225996,314046,375992,326959,160994
464000,148994,33005,233933,331991,292990,234949,312993,382670,327999,159005
465000,149998,29999,224001,322034,300997,251009,312949,391025,349959,159981
466000,155039,30957,227038,328944,288037,229959,397992,385990,323995,159998
467000,154996,30995,222995,362994,301992,235009,315033,400038,330994,161999
468000,150008,32000,226947,311993,297996,233030,311962,379031,328957,172005
469000,156006,32000,229991,352998,307994,227996,314003,380993,333051,164002
470000,152955,31999,235960,330048,303996,239953,320948,383980,358992,167989
471000,154040,30960,229958,330994,310045,238947,319989,384992,333974,161995
472000,151991,31007,228956,331034,298955,232047,334943,391041,333957,160031
473000,154946,29999,228997,314998,305039,241460,324995,447994,337985,169998
474000,155998,32001,253001,321994,295035,238956,322034,391007,352997,170990
475000,154008,31982,228996,341993,309996,242992,323011,391046,331984,167998
476000,156975,41029,237017,335946,298033,239009,347982,389016,334994,163193
477000,156996,30999,228998,338049,313988,239955,321998,398985,346977,163998
478000,154998,30999,230047,377996,325939,251036,320950,388994,336995,163997
479000,161038,31009,233003,326958,321008,242948,341993,399995,338955,165037
480000,157006,31986,231963,353033,298996,237042,351002,415949,337996,163001
481000,158992,30990,227595,324958,321084,239956,325990,399050,352947,172994
482000,158974,31999,228997,313996,319042,259009,336996,395941,348049,171954
483000,162572,34996,238049,340948,309995,241033,324957,397038,341005,169987
484000,154994,33001,237999,346994,313995,242992,329994,395958,342045,171949
485000,157050,31998,236000,329990,325984,245966,326039,394959,346990,168998
486000,157998,32000,234998,327038,292999,246997,365957,407990,344008,167993
487000,176033,31999,232046,363996,295993,246957,334038,416993,346006,169990
488000,165048,31993,235941,349020,304039,244960,331995,450985,368996,170995
489000,157996,33995,231992,337996,327993,245029,366994,406000,347990,178954
490000,160997,32000,231003,337011,315956,245034,334993,428962,346987,167000
491000,159995,32997,247994,342997,317041,244994,335008,406936,346009,170998
492000,160948,32999,233997,416378,333997,243992,367988,409997,349953,171043
493000,158018,32995,239002,359994,326950,247994,338000,406993,357046,173948
494000,162040,32952,243995,342496,303039,248996,349997,424954,348037,175954
495000,159050,36948,236048,341949,310036,249953,345998,423989,350036,171994
496000,163958,35997,243997,344994,340004,249997,341010,428945,361994,174998
497000,163999,33000,238002,332035,322007,247043,377939,411990,372033,172000
498000,160050,32992,239998,338956,323996,251043,343990,413956,351992,170996
499000,177002,31996,238999,350956,330034,254035,345007,419982,351013,175950
500000,161032,33017,257055,496945,474991,288995,366998,434045,377027,170996
501000,174038,32996,252960,342994,313993,247995,344034,416954,358996,173026
502000,164005,33000,244001,362958,316040,260946,349037,414958,364993,182000
503000,161003,33993,244009,351563,332036,255996,344959,415333,422998,178049
504000,169043,32998,276000,394009,427039,280998,418956,484994,433951,214000
505000,206000,38048,278997,395996,386993,285957,396991,473047,436994,200999
506000,192000,40004,294991,425996,406997,313996,418967,495995,462994,213996
507000,195997,35995,282995,426949,376999,309002,414997,492991,448990,210623
508000,201995,34047,315967,444997,336997,268996,376999,450047,383997,190988
509000,169948,34000,275000,395996,347036,271962,366997,461044,376997,181948
510000,179007,36042,253040,397000,354941,291998,379041,453944,402996,188997
511000,179948,37997,269998,389257,343923,279028,368949,450033,386003,183946
512000,168991,33001,260994,550994,364988,275982,369039,448947,387995,195998
513000,176946,37006,257987,381006,346999,273952,375996,439995,393044,184943
514000,178949,45001,254044,406949,352018,290949,378044,449999,405007,189997
515000,176999,36995,255998,434322,341997,269998,369950,464998,405029,193956
516000,185048,35954,423951,901523,1079112,979739,1199073,1188116,1118430,437009
517000,356996,93997,560994,718993,697990,738171,913815,847996,861990,412653
518000,427879,87001,479991,693993,717986,625618,777994,1051991,991984,408994
519000,413990,87993,600994,816986,784993,582993,796991,827988,766512,320996
520000,323989,61988,412994,690991,707994,608995,687990,911990,818511,385000
521000,395992,79997,536995,722988,515991,427994,570997,680511,533990,285999
522000,265112,49998,380994,570995,528512,433996,569000,744985,743985,265998
523000,235994,50000,330045,504949,465989,360040,487951,598032,500957,234001
524000,259996,47959,333992,478505,467004,357958,529996,575992,524953,239997
525000,263002,45047,338044,710941,470039,355990,501996,624997,538991,235993
526000,239998,46040,344999,537996,489995,399997,519991,580994,602997,247999
527000,240000,44002,377995,570030,476028,399996,511984,656041,568951,243037
528000,225999,46000,382992,550998,464992,369950,523991,564041,445944,197049
529000,220943,54997,312561,440953,442999,292959,420040,525946,410999,232995
530000,198997,43005,302992,431033,443993,425994,504001,616991,542998,222050
531000,245949,61998,398993,524038,416952,335045,431992,518002,490957,204998
532000,211954,39999,305041,466953,492998,383994,425032,572001,455955,205042
533000,193005,38999,304043,471052,376033,363984,467991,598997,436994,186048
534000,170008,35000,261960,391046,391988,277994,369956,532033,444043,199993
535000,174948,36999,277997,392996,342995,327384,373940,447024,398955,213051
536000,174997,34999,262949,407993,356007,277997,406946,456986,407995,187992
537000,178000,36994,274039,383993,357009,300998,373945,452042,391545,183000
538000,182997,34999,262950,386033,348998,274999,367980,452046,387995,182990
539000,175946,34996,263991,406047,373943,275038,379038,452008,382998,184996
540000,176044,35000,259952,417999,363996,314033,440961,477992,422992,190999
541000,217960,41981,314037,432949,440995,329984,472991,541034,491473,240005
542000,268000,63955,370955,530005,509020,393957,530992,678984,642992,262993
543000,237994,46999,380000,533992,441033,332954,456002,543986,503243,208036
544000,204959,42998,320996,460954,426000,317998,422979,518994,480994,200948
545000,181032,35998,272028,401507,366999,281946,381036,462006,405946,192042
546000,176989,35997,266354,418993,354047,277006,379997,467996,393986,192962
547000,179999,36011,264996,395033,365010,278999,395998,456007,390946,194006
548000,175947,34998,266046,397946,362509,279000,382007,466995,395032,194008
549000,174002,35951,267951,449990,377999,287039,386948,460991,398104,194989
550000,178996,35999,265997,419006,352996,285943,391996,465044,393944,192048
551000,179000,35999,266952,406036,373011,283999,383007,458607,396995,187997
552000,178007,37043,264002,447007,341997,282980,382947,466992,403987,190998
553000,177996,37039,270012,443059,349009,284985,383993,460002,395957,197999
554000,175951,36998,267996,436037,374000,319951,405043,461609,408984,193996
555000,183959,36999,274041,390997,357998,296987,424996,468040,406984,190018
556000,182998,36000,269946,417047,355614,284997,385061,476002,402045,193992
557000,177951,42954,270984,416993,375560,290995,396996,474994,399948,196041
558000,180985,35943,268953,451047,382997,284986,383006,478944,402040,212987
559000,180950,35997,269039,459968,378046,288945,389057,489044,410029,200004
560000,184049,37004,287000,435948,381049,296989,399943,476993,410040,202950
561000,186997,37000,292041,415950,375045,288987,391992,471996,399996,198994
562000,182999,42994,302033,402997,392950,307997,397046,482984,402957,196995
563000,198998,36999,275994,411999,373993,294995,398988,479998,400959,199999
564000,201046,37999,274003,392004,372999,291043,396519,480030,399007,192938
565000,191997,35999,274999,403027,376946,294997,401047,515995,443948,211000
566000,185004,36997,275947,389041,383954,292994,398989,475047,404996,212991
567000,186048,35998,278038,415963,381036,292959,395028,482056,435945,213038
568000,189995,38025,274996,441041,367995,315949,399628,482952,437045,219998
569000,188021,37014,298949,413504,379990,299999,397038,503210,408019,198985
570000,182042,37005,283987,419947,365991,295956,402986,490040,415497,197997
571000,188991,37010,276986,409962,367003,295969,404011,500995,413946,202045
572000,186996,39998,278034,404955,376045,298997,415959,497948,414037,196997
573000,184959,38000,279046,412998,379944,296995,412035,493042,411987,201056
574000,187996,36998,278000,436045,374998,298961,452036,502993,412005,205988
575000,186996,40973,280049,433461,388097,299997,423957,488991,410995,201037
576000,187960,36998,278037,477960,378996,313948,403996,482945,415998,197993
577000,191998,37001,279962,418997,376995,341953,411993,500000,433994,203038
578000,210975,38000,284041,403960,393524,305040,402985,495001,417008,203993
579000,185958,39999,278036,406961,393046,300991,411006,486035,416064,200998
580000,190014,38014,285948,424031,384007,301044,406987,486003,421999,209946
581000,192997,38999,283015,430985,375009,309993,415006,516987,423336,206991
582000,187999,42044,299996,401036,392948,304036,437954,496988,426028,210997
583000,187998,38956,295033,407561,385020,301998,413004,523981,424962,223991
584000,206885,38999,283041,432955,384030,310006,445985,653056,504762,213427
585000,204179,39668,303223,448449,417552,386410,460992,527347,445961,209205
586000,199688,39673,293846,422578,406647,315443,435998,539002,498321,209033
587000,193474,38830,292875,427000,463229,343970,449004,572579,480247,217337
588000,196837,40146,290244,441807,420433,368725,465622,672071,580947,249676
589000,200265,39086,329626,437093,397879,313030,486148,527148,446981,225704
590000,237169,40283,297439,624418,396685,315281,423665,513120,453066,210105
591000,193790,40288,289198,490899,417640,311367,416841,520412,465250,204865
592000,189914,39438,331592,474486,392959,312996,420042,548943,490030,209007
593000,198978,39008,290951,445760,401998,312980,434157,521002,440947,233005
594000,194950,38035,307009,451956,413057,334934,421984,536966,476030,211006
595000,194946,39040,294961,458046,443937,315046,429945,539995,439042,210999
596000,195551,38999,296992,497989,399573,321037,425953,547036,440001,240997
597000,191954,41033,334006,455985,400990,322067,430945,514967,473039,227980
598000,195038,40013,294987,442008,398998,332995,435996,518004,470536,214999
599000,193998,39000,299044,460032,404006,326992,442954,546035,446012,217995
600000,194987,43008,299000,440958,413993,320037,429953,560030,457953,212047
601000,201949,39006,299013,446003,411946,323998,449056,538991,486096,213991
602000,201949,38999,300010,421992,394999,336999,434999,524037,450000,219949
603000,201971,39008,299990,414956,421995,414015,446007,535994,452952,216037
604000,202003,39000,337996,435965,406999,322695,430927,514043,453951,208037
605000,209994,40016,301012,444946,407974,328000,431038,525948,445035,242080
606000,194003,47959,310051,480043,409995,321959,437029,531041,473999,222003
607000,210001,50996,311048,456954,444071,326000,446994,585994,449032,214956
608000,199998,41998,295028,445948,428050,323997,462004,523995,469044,212953
609000,197038,39999,297962,450003,402997,363950,441964,529011,458004,218965
610000,203991,39999,305010,443056,412994,357008,456944,530048,452987,222961
611000,249956,49041,336986,484009,427007,350972,487564,609036,473006,244007
612000,211998,45960,307005,495010,450987,354961,448991,599040,469043,221989
613000,207993,40011,302048,497005,421005,325997,439960,551989,452997,217048
614000,203948,40000,302040,462924,418999,329041,464023,524001,460041,217000
615000,200961,40999,302036,436020,442997,334998,440005,552999,453989,217011
616000,200003,40035,305985,486985,454981,325000,458016,543958,482046,218993
617000,200001,41962,327958,439037,414001,344997,440996,528011,460990,219016
618000,206999,39997,305034,455012,407974,329972,447997,544994,505992,217956
619000,203035,41977,301002,447960,423009,331999,448936,574035,459010,220961
620000,197998,42958,301999,498564,389994,357000,481960,541995,503990,237996
621000,200951,43988,303962,468000,407332,346775,452947,539996,461041,217959
622000,206999,41004,303012,452952,433994,340043,481996,605046,568992,225041
623000,233996,57999,353034,551956,447000,363045,455996,662991,499997,225960
624000,211002,41990,321002,543042,440049,336952,473042,584986,506958,251993
625000,209011,41982,313002,474949,426660,373959,463998,545033,490048,226957
626000,229997,43997,306036,459992,453999,344000,536959,550135,522954,227041
627000,214035,41992,308962,471933,411960,369006,462998,565986,507013,226018
628000,221557,41038,319018,465947,489029,375039,530046,561990,502956,270037
629000,209948,44025,316992,480955,445036,353967,491009,566949,485033,232035
630000,207997,43957,323001,478996,469034,474958,478039,556952,482033,251009
631000,221998,40953,321013,529995,423977,349002,457967,567997,474994,256997
632000,232998,41999,317001,491038,458002,378996,461997,548048,540000,221990
633000,205006,43001,336956,465044,432997,350002,491510,590937,467035,228001
634000,205998,49999,332959,475037,440995,411032,495966,595001,490011,228049
635000,233002,41998,329997,497965,484927,340035,456955,546039,476001,248003
636000,206056,41003,324992,470998,451046,354042,467950,564046,478949,259993
637000,206023,41000,310991,470968,421003,347999,473009,545004,495956,222038
638000,205035,41005,311996,475009,447998,362949,579995,614044,550948,231998
639000,214997,42991,316015,710909,589969,385450,490011,588378,514544,239965
640000,222353,43536,405396,646310,537729,380991,474975,572024,519284,231361
641000,243894,63552,346172,490202,460928,352553,492212,576881,491641,234316
642000,235771,45120,328774,480555,412270,387376,483043,559356,610208,301993
643000,235974,41996,326995,583635,439804,351102,462601,577650,484376,228997
644000,229995,41999,352045,482995,537231,393908,512099,594896,566820,264874
645000,223348,47192,324445,491316,465678,468391,704759,580120,510941,251546
646000,337702,75060,371108,602049,491326,356696,532689,592807,509289,247807
647000,244152,44018,370539,488957,447740,354212,472359,572910,502970,232623
648000,220927,46157,384019,534029,463107,411431,615507,634993,559610,258200
649000,362811,78041,353816,523197,436356,366623,525258,600917,513750,236999
650000,236009,43411,333233,495022,454157,390032,501944,604647,526678,245275
651000,221517,45052,330824,565267,448003,374301,531937,626564,557167,243052
652000,226031,43321,397893,522818,472694,399384,492257,598865,504848,233068
653000,210391,41990,339359,534369,478887,441041,497604,592142,560202,236302
654000,242028,48308,326623,481386,461497,359309,499942,603032,572941,236050
655000,245002,43005,371016,519990,465948,401002,504996,580987,530998,225998
656000,219049,44015,325951,674030,462955,368048,489988,576957,507041,247995
657000,218002,41999,338050,577998,464997,357650,514997,602949,512003,231991
658000,223048,45997,332992,536950,456039,372965,520054,582039,557998,235998
659000,218958,42995,342039,516954,441044,370003,540001,598966,522995,239002
660000,230951,53046,333049,495987,449564,372002,503033,596956,613993,249999
661000,219040,43000,337007,515977,439009,369993,510029,604947,510040,234952
662000,233004,45014,330996,513952,498996,389999,489001,591027,538993,239951
663000,219010,43951,334996,521006,471945,397998,515032,609959,547517,284997
664000,216951,43994,354999,501054,448994,373998,506035,676260,663995,272992
665000,287954,65956,409037,632958,470041,378998,500044,649998,513043,239999
666000,219993,45984,372031,509078,538997,394053,521989,594990,535024,253954
667000,223011,44007,328947,484009,487038,367000,495995,602958,527045,248987
668000,228993,45004,363004,490986,479996,410984,498059,596041,531008,259995
669000,223957,43037,331959,514000,468001,367011,513990,648010,507995,254240
670000,224928,45001,344999,496000,457042,375998,505993,604996,529039,249948
671000,217001,45004,363971,517958,488013,398959,503998,602961,501037,257035
672000,220916,44997,335017,551986,480050,373999,547037,601955,525953,243991
673000,261041,45957,339637,515004,529989,385005,495036,623965,534992,243002
674000,227003,48006,353003,500950,513022,400051,546997,613045,505955,242661
675000,223984,66002,419951,494659,494952,383034,544933,602041,534044,270048
676000,230996,63982,356959,556098,463958,380043,503954,632028,571013,282959
677000,247987,72989,364969,656994,533999,416996,496041,590000,568960,265755
678000,286998,43998,355999,550999,552551,411990,562559,608032,556996,268038
679000,224958,45051,356042,504999,461993,371980,495960,615994,507000,249045
680000,220988,44007,363995,539962,466992,396999,504030,599958,509044,240988
681000,221048,43999,333993,517955,480043,374007,500949,588994,537995,243993
682000,234040,45048,338582,515525,444942,382048,491001,600945,533050,241337
683000,217997,46006,330962,502003,447041,374987,521357,595043,498951,241991
684000,226050,45005,335005,493001,448955,397991,508996,604039,504648,239993
685000,222999,45001,334036,515955,470049,374987,500992,606971,507048,256955
686000,224988,46008,334058,507043,501995,370991,494994,610997,505966,245046
687000,220997,46007,333992,516483,445044,374041,526959,597983,508962,240049
688000,221038,47004,367968,516005,470946,383040,514994,606594,534943,240001
689000,235014,47961,356035,555007,521991,400997,501007,601987,534958,245996
690000,229994,68047,346003,573973,480035,376991,528038,602954,557995,243037
691000,223002,45013,335994,526002,458004,379003,509997,612956,516050,247999
692000,227962,43996,365995,522634,477955,381036,504963,617039,542950,243995
693000,266030,44973,338003,519971,449960,386005,510948,617047,518999,246983
694000,225001,46000,341995,516037,457964,396931,506979,614996,518503,244962
695000,224038,46002,345008,552998,462994,389039,525958,673122,524013,252127
696000,231957,45000,348040,516957,495035,407000,508971,678007,551013,271984
697000,225043,44990,358014,536948,456515,408027,512967,615034,523956,246998
698000,227041,46005,348961,539040,468609,410997,512581,623046,548988,260994
699000,245996,47035,351014,540015,472001,391944,538997,665510,523999,250041
700000,240001,46991,349978,515998,493997,417995,518047,617942,529653,247998
701000,223584,46016,353002,517001,474954,387038,531996,615958,519022,272003
702000,225963,48044,345002,524993,477010,395945,520003,636034,528055,249008
703000,230949,46999,348043,525963,465038,398012,514992,616002,539002,244992
704000,228952,50002,352994,583000,526962,431041,645595,674997,607993,288036
705000,259029,56005,386957,660999,574992,451992,651968,754518,694997,307991
706000,311996,53992,436037,677953,659995,559998,743558,827996,685039,292964
707000,261047,51994,389957,599996,560000,456388,590044,625979,525003,253011
708000,244035,46008,373016,516991,486004,825051,1176442,1385625,891984,258030
709000,240038,45992,357012,543002,483950,393005,530046,640003,528977,246005
710000,231040,45999,347009,509995,506039,432008,518953,622037,535799,249995
711000,231000,46019,355963,595999,503032,425949,579012,641985,531999,275962
712000,235035,47013,386011,516015,490000,396988,536006,653988,535997,249010
713000,229005,46994,348013,545004,506038,521961,523038,635367,532997,256033
714000,230997,46003,368317,547994,477014,409000,529009,636992,556047,254988
715000,235948,47999,350014,503991,496013,397040,536988,631026,523047,257990
716000,270960,45998,356033,540008,500960,407045,526991,630997,536062,252959
717000,232005,46018,378997,584039,488007,409996,528950,658996,596832,250613
718000,231010,48993,354043,521010,473040,428965,547991,634998,536973,254001
719000,234505,47000,358034,526002,518005,404953,558048,634985,544995,257006
720000,253989,46014,354008,541964,495217,402962,532041,651008,540984,261013
721000,234001,45990,355967,854984,513604,421918,540992,637999,545991,255997
722000,237039,46982,355933,605965,494952,414000,563995,646040,557991,251982
723000,242958,46994,357039,560959,496962,410967,559994,640996,533558,255949
724000,233953,72965,357037,559961,512988,425941,537047,695978,565575,263998
725000,285995,47000,355051,644912,476011,405951,537007,650985,540013,258976
726000,237631,47989,354003,532954,530049,423998,540002,642954,553039,259008
727000,235049,50986,360960,555047,503999,445308,575998,643985,558002,253987
728000,237005,48005,366948,541002,515963,411007,559974,638048,543931,259998
729000,234964,47997,356036,533000,538003,417952,571989,656510,540981,255042
730000,237008,49953,371029,519962,498757,408994,541009,644989,571014,259027
731000,239950,48008,356994,534014,471942,409042,561006,681010,553466,260033
732000,236997,47963,362048,557997,487008,408950,587032,649009,549989,269971
733000,237035,51002,366007,538985,499951,418997,552045,663986,582955,258041
734000,238998,48009,363949,545038,519007,460997,547990,668985,550035,258034
735000,238002,48040,375998,547960,497036,429999,542956,656047,583947,260050
736000,235958,52000,472999,804998,627032,440459,558043,654995,559944,263045
737000,238995,48004,372956,581040,514993,416961,549997,675998,586618,267000
738000,270038,51000,366954,560992,551000,426034,575970,697015,567996,266938
739000,245067,47997,369036,566010,524945,461033,563944,669037,568927,279008
740000,241963,48998,369989,559050,512969,427994,560030,691974,563974,265971
741000,238947,48999,399004,549627,577961,422050,551986,653995,562003,265994
742000,257029,53014,372999,544954,504662,420996,560954,684051,563994,263955
743000,244992,48000,370001,550997,532046,435995,565951,668002,566045,264003
744000,241964,49026,368630,607950,480044,424983,560010,680991,582009,270980
745000,244032,49016,368950,537052,546997,434986,602948,664526,565996,274041
746000,242995,49000,367635,586002,556986,422039,566965,682053,563004,280955
747000,273976,49995,378028,535969,510991,424002,573036,696016,575945,293989
748000,244965,50026,369010,586926,541994,424960,566986,673005,577946,272052
749000,268939,51002,376962,560672,510998,458036,570955,703976,577040,269000
750000,248003,60965,435001,591518,533996,476983,606992,706999,637035,272014
751000,243003,57989,376964,543038,543014,424456,578038,677009,566944,270035
752000,249967,54000,372001,599955,522058,448999,567046,685008,562012,267002
753000,244045,50000,371996,544996,546049,428946,568041,676999,586034,263957
754000,242994,50042,373963,667047,507002,428987,580999,675958,563504,267054
755000,247037,50005,377001,642003,508959,422997,571995,714598,589946,266049
756000,240999,51999,371997,565995,534958,428042,600949,700041,576491,270966
757000,251963,51049,377006,586957,542037,434982,574994,691954,570052,279943
758000,242516,49997,373955,570686,527964,439050,569948,690036,574009,297000
759000,277008,49990,381272,581993,545000,429999,573627,671999,572960,269001
760000,258045,50990,378002,571018,510988,440558,578990,699008,569999,269003
761000,248005,51950,377040,581954,579995,452002,571996,676041,570997,267001
762000,250994,49989,397965,570010,548000,438563,570000,698960,590987,293003
763000,248998,49998,381994,559035,542962,489049,583968,685452,573999,272043
764000,251994,49998,393001,572034,514022,434003,576034,677604,605983,270999
765000,247014,51004,410948,573030,534008,441954,601045,755047,626602,276956
766000,248999,49999,380041,605000,508013,465988,575001,682956,595038,270273
767000,255959,49998,376000,590987,555961,438994,594996,689986,591033,273957
768000,251033,51003,377963,724039,518957,440988,576000,709031,595959,273995
769000,250990,49961,387001,559039,524015,437033,593012,704174,579983,273006
770000,255996,52039,383003,586005,537012,441040,576036,684006,577997,284990
771000,251047,71999,386997,563040,545959,440994,619547,688996,582999,275918
772000,249008,51004,382004,569001,559956,457031,591959,696195,587059,285993
773000,249002,50005,377040,586960,547045,448997,587945,707038,585997,277959
774000,251000,51049,382954,544038,546961,448004,593007,702992,581051,280948
775000,259047,51004,380994,584946,564042,446007,584994,719046,595997,271600
776000,253957,51997,384044,591986,528000,473000,585984,723993,586035,275012
777000,265992,50999,386999,618998,502045,443949,620947,714997,590043,275502
778000,251033,52015,390601,570946,589999,443991,592010,712048,587954,274969
779000,285010,51000,389018,560642,608965,455028,592003,712009,588985,279012
780000,253998,51010,381988,594004,545993,448042,595008,700986,632961,278039
781000,275952,51997,393998,585037,535007,447989,587956,726036,591008,276953
782000,252051,51952,385990,591002,541065,464990,592996,725005,594948,275002
783000,294996,52003,386988,592960,540031,450736,591007,723001,597001,277008
784000,252988,51005,388012,622001,553055,455460,624038,701994,614040,279957
785000,288043,50041,384008,576948,555997,450990,621545,719995,598993,279048
786000,257621,50966,383003,581935,539972,453050,592955,703048,589960,305997
787000,278038,50997,389005,797959,540996,453996,612995,843959,631046,298004
788000,256997,52003,390010,759998,548004,450927,641039,792953,631999,284035
789000,270987,54013,399002,636994,541034,456037,608962,708630,596960,275038
790000,252956,54000,413995,645000,520996,456997,602947,712034,616995,274997
791000,252001,54008,390000,616003,521001,470993,602999,784993,678038,280949
792000,281995,51998,409040,614376,545011,454998,604960,756959,602996,279999
793000,280007,52988,390993,590984,552007,465002,598918,718049,633963,283961
794000,259994,55015,408015,624995,542959,462996,610002,730956,614991,280002
795000,259049,51005,391952,615000,585042,470956,603040,717947,618038,282005
796000,278961,51999,398045,605966,545098,466000,627999,746995,595998,281048
797000,255013,52955,395040,579236,566991,466037,625963,748036,628997,298996
798000,262997,54044,408046,623234,560011,466008,614996,731021,606986,284962
799000,297010,52998,396002,609924,571036,467000,606960,775965,613955,299033
800000,260036,52996,404002,651168,576957,465038,824774,851146,686226,287804
801000,308335,53536,467045,646950,589985,537611,740137,831551,710897,1145862
802000,550800,52351,1032910,1818315,1064671,995527,1649159,2561560,1008940,701904
803000,854823,232296,1490121,2642946,1211287,1125475,2693875,2224057,1988938,833597
804000,435069,305316,1282885,1470874,1412735,905015,2905409,2491772,2256743,548662
805000,906056,156337,1543787,1439734,1021571,1098886,2523605,2047633,2237920,898627
806000,1132721,265115,941347,2364161,1749467,1487434,2121390,1384143,1823105,1511379
807000,566800,260655,1285200,2084258,1734141,1806202,1351926,1963994,2222005,1034443
808000,696872,62340,1201832,1772529,704913,708916,1448229,1063221,1514555,534909
809000,267583,58253,644519,1321419,714623,1422544,2410241,2626681,1873205,739754
810000,784133,144494,754452,2250638,1622824,1248203,1787232,1961858,1646029,908915
811000,722377,238693,911677,1551338,1620692,1296385,1784684,2080899,2033818,506883
812000,606722,253725,1838274,1666023,2772766,1569212,1957538,2004365,1840990,853855
813000,886126,96212,1061752,1620289,1470470,1505897,1819105,1888279,2272883,742367
814000,525912,137279,1036398,1202339,1156594,724056,1264120,1555165,1325389,449802
815000,507360,106955,601534,892297,1044089,1236029,1179562,1220094,1625219,617645
816000,468439,81678,512330,845294,821747,842140,1098047,1004054,1151620,458746
817000,432587,95493,679794,1110811,1082444,831225,1079730,1272122,1444423,570085
818000,529749,109475,637320,1049546,1044998,1261111,1700508,1526361,1482348,542784
819000,686712,132345,736254,1273919,1213464,1147206,1218526,1709590,1453817,594398
820000,408448,68263,802326,991551,897851,807322,1008681,1801946,1579305,571481
