,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),Heap Sort,STL Sort
181000,63682,20956,20999,11998
182000,72004,21000,23945,11998
183000,70998,24035,21045,13991
184000,63943,21996,21996,12999
185000,62996,21999,26033,13008
186000,70949,26029,27005,13008
187000,66981,26966,23042,16000
188000,83953,29993,21996,13997
189000,67998,27010,27976,15002
190000,64953,21996,22998,11997
191000,64992,21996,23036,13003
192000,70989,23997,23200,12990
193000,66967,25997,26999,14057
194000,69990,24070,22996,12997
195000,66989,22997,22001,13002
196000,67960,23997,23995,12996
197000,69039,23997,22993,13991
198000,66990,26034,22994,13994
199000,67990,22997,24029,15958
200000,69998,23996,26945,14039
201000,67990,23991,24002,13999
202000,68989,23959,24005,13953
203000,69948,23995,24035,13997
204000,68930,23996,23997,13996
205000,71007,25951,24047,14047
206000,70991,25047,23946,13994
207000,73031,24991,24999,13997
208000,73955,24995,24994,14999
209000,88990,28003,23996,14000
210000,72232,24996,24997,13994
211000,75985,23955,24993,18993
212000,74038,24996,26996,14999
213000,78990,26949,37044,35945
214000,74952,25997,25996,14977
215000,74997,26004,25996,15006
216000,74953,25996,24993,19995
217000,74987,28995,24995,14993
218000,74985,25994,25993,17998
219000,95970,30033,25999,16005
220000,79932,32960,25036,15024
221000,75990,26959,25992,14995
222000,76990,29032,26998,14999
223000,77998,37943,39990,14998
224000,80989,25996,26043,14997
225000,77988,26995,30047,15998
226000,83983,26997,40996,19035
227000,79976,33958,34038,20985
228000,81975,30961,33985,18037
229000,82958,26999,30993,16022
230000,78942,26996,27995,14996
231000,85988,27995,27994,15997
232000,80992,29030,26994,16008
233000,83989,27997,27000,15996
234000,79957,27986,27957,16002
235000,83001,27991,27996,15948
236000,79989,28998,29986,18993
237000,79989,26992,27995,17004
238000,82979,28997,29998,16055
239000,80990,27958,27999,15997
240000,80990,31997,28006,15993
241000,82949,48986,30034,16978
242000,85984,28503,28994,16009
243000,94975,27991,28996,16996
244000,81987,28999,27993,16996
245000,82994,27995,39987,16000
246000,85986,29033,30003,16995
247000,88945,28992,28995,16994
248000,83985,28994,28993,15995
249000,90028,28995,31995,15999
250000,87000,30948,29996,18999
251000,84281,29998,30948,16994
252000,85986,30996,32016,17007
253000,85987,29996,29996,16997
254000,88986,29995,29997,16998
255000,87987,29996,29994,16959
256000,102987,29996,30957,17037
257000,88987,30989,38004,16998
258000,130982,38940,38042,16997
259000,89029,30956,32062,18997
260000,88938,32995,33996,16994
261000,89984,30033,30994,17241
262000,94918,32036,30995,17999
263000,102949,43022,30995,19958
264000,92943,31997,31995,17996
265000,95987,32992,31995,17997
266000,92025,30992,31993,16994
267000,97985,32037,31995,17994
268000,90960,32042,34983,17999
269000,101957,44979,30992,18047
270000,94980,31959,31994,17993
271000,91989,31995,34995,18996
272000,113027,31995,31996,18000
273000,109943,32995,32994,19004
274000,93987,33029,32956,20996
275000,93007,33065,34008,18999
276000,98026,32028,33057,17997
277000,93988,32999,32956,17994
278000,94984,31992,31994,18990
279000,118020,32997,33993,18991
280000,93984,33000,32954,18997
281000,96989,32994,34007,18991
282000,96943,35034,32993,20001
283000,99991,33992,33995,18956
284000,98026,32991,33993,24028
285000,98951,36044,33998,19995
286000,96977,33996,33993,17997
287000,112032,35982,42991,25996
288000,128944,40334,34990,19996
289000,98990,34996,37992,18996
290000,97987,34976,33995,19003
291000,102017,36005,34994,19996
292000,97988,34959,35030,19000
293000,99944,33996,33995,18996
294000,102980,35992,34995,19995
295000,101985,36004,35997,20033
296000,101988,36956,36041,19959
297000,101985,35994,34995,19997
298000,100990,37994,34996,18995
299000,101988,34995,35995,19958
300000,113948,50011,41015,19985
301000,109945,38022,41035,22955
302000,134938,42001,38995,20982
303000,110978,35993,37994,28000
304000,105310,37993,36995,23947
305000,117913,36030,36959,20998
306000,111956,39994,38990,27996
307000,111988,37997,45982,35996
308000,120984,59027,44975,25969
309000,123986,36999,36992,19997
310000,109027,37992,36943,21996
311000,109037,37932,38035,23946
312000,135002,54010,46955,28994
313000,112984,46984,51959,23032
314000,124923,41991,48996,28990
315000,139984,43993,45982,27972
316000,133968,38993,41989,29992
317000,116018,47026,39961,25027
318000,131983,41992,48985,23009
319000,117992,54023,50953,23997
320000,123024,51985,42999,26949
321000,123982,38996,40025,22972
322000,127983,58000,56966,23992
323000,146934,48987,40991,24002
324000,144985,43981,43035,36996
325000,134922,54034,40981,25995
326000,139974,43037,40946,23001
327000,131953,41026,54002,29934
328000,129969,41020,46948,24957
329000,124003,44012,41962,28980
330000,124981,46007,43985,26984
331000,135011,43961,45004,24967
332000,143959,42023,50947,32020
333000,141976,48992,44946,23023
334000,124939,43984,49026,26989
335000,143355,55995,47998,25983
336000,128986,44987,46990,23996
337000,116984,40994,41950,25037
338000,115984,39991,40991,23998
339000,119018,39966,42004,24994
340000,123988,42989,42992,25035
341000,123984,44263,41031,24994
342000,119944,40991,45036,23985
343000,125977,44959,41995,26946
344000,123982,48941,47994,26028
345000,132975,50043,45956,24005
346000,140588,44027,44957,25005
347000,125977,47033,43006,24038
348000,126931,45009,41989,25992
349000,126025,41976,46011,23950
350000,128975,41985,47962,27031
351000,121933,41997,42991,24998
352000,129026,44004,43936,24992
353000,135984,41993,42992,23989
354000,144934,43008,44996,23996
355000,139958,45996,42001,22993
356000,121983,41993,43995,28996
357000,143033,71941,47988,23997
358000,121985,42043,43991,25954
359000,123982,42993,42989,23994
360000,125978,41994,41994,22996
361000,127022,43030,41997,23960
362000,127976,43994,42993,23996
363000,124986,45995,45041,23950
364000,123935,42993,42992,25994
365000,124032,42954,42995,24998
366000,138489,43032,45004,23999
367000,129985,42998,43000,23998
368000,128983,42956,44031,24034
369000,127943,43994,43992,23996
370000,129021,47956,44034,25004
371000,152030,44993,45942,23996
372000,127981,44031,44163,26959
373000,126986,43983,43996,24998
374000,129984,44004,43989,23996
375000,129970,45037,43992,23959
376000,129977,42998,45955,28996
377000,136020,44995,44987,25994
378000,127981,47993,43995,25036
379000,127973,44996,50991,25992
380000,129994,44985,45040,30984
381000,129943,46030,68991,27998
382000,130986,43994,44034,24996
383000,134934,45993,45993,24996
384000,135023,45955,45993,24988
385000,139944,45992,46027,25045
386000,136933,45989,46991,26032
387000,146034,47943,45993,24997
388000,131983,46031,49031,24953
389000,157030,46998,49033,25002
390000,133980,45992,46955,30952
391000,135349,46000,46997,28959
392000,133981,45994,45991,25992
393000,134032,46994,46946,26996
394000,136977,46996,45994,25996
395000,138016,48990,46955,26995
396000,142977,46995,48032,26957
397000,177023,46995,45999,25995
398000,139994,46987,46991,26036
399000,137945,46993,45995,25996
400000,136982,49951,47994,26997
401000,136978,49991,47986,25996
402000,138025,46990,49994,25991
403000,135983,47993,48952,27040
404000,140982,48985,47993,28996
405000,137983,47995,48981,26993
406000,143944,48992,49990,26998
407000,150339,48994,49998,26995
408000,139024,48993,47993,26990
409000,147982,47994,49005,27038
410000,146943,48990,48992,28032
411000,141982,47994,47993,26995
412000,141991,48999,48985,26944
413000,145022,47992,47993,26995
414000,148948,52973,51989,28996
415000,145982,48992,48993,28512
416000,153979,48990,60956,27992
417000,146022,48991,48944,27028
418000,144987,49983,48030,28032
419000,145931,49996,50032,31960
420000,147980,48993,51032,26996
421000,145943,49033,51002,29000
422000,144937,52992,52037,28990
